,Predicciones,host_response_rate,price,host_acceptance_rate,room_type,accommodates,availability_30,availability_365,availability_60,availability_90,bedrooms,beds,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,calendar_updated,latitude,longitude,maximum_maximum_nights,maximum_minimum_nights,maximum_nights,maximum_nights_avg_ntm,minimum_maximum_nights,minimum_minimum_nights,minimum_nights,minimum_nights_avg_ntm,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ltm,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month
16442,88.64729218608156,100.0,600.0,96.0,,1.0,28,273,56.0,86.0,1.0,4.0,16,0.0,6,10,,19.4162,-99.15866,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16448,88.64729218608156,100.0,600.0,96.0,,1.0,20,267,50.0,80.0,1.0,4.0,16,0.0,6,10,,19.4148,-99.15896,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,9.0,0.0,9.0,5.0,4.78,5.0,4.89,4.89,4.89,5.0,1.17
16450,88.64729218608156,100.0,971.0,96.0,,1.0,6,57,6.0,84.0,1.0,4.0,16,0.0,6,10,,19.41475,-99.15893,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.83,4.87,4.7,4.91,4.91,4.74,4.87,2.21
16750,77.62691089091666,80.0,185.0,75.0,,1.0,27,349,57.0,87.0,1.0,1.0,4,0.0,2,2,,19.42613,-99.14969,365.0,1.0,365,43.5,1.0,1.0,1.0,1.0,23.0,0.2,23.0,4.83,4.87,4.7,4.91,4.91,4.74,4.87,2.21
16754,77.62691089091666,80.0,185.0,75.0,,1.0,29,350,59.0,89.0,1.0,1.0,4,0.0,2,2,,19.427097,-99.150787,365.0,1.0,365,41.1,1.0,1.0,1.0,1.0,54.0,0.2,3.3,4.59,4.72,4.54,4.81,4.87,4.57,4.7,0.8
17002,77.62691089091666,80.0,202.0,75.0,,3.0,30,365,60.0,90.0,1.0,1.0,2,0.0,1,1,,19.56018,-99.1412,13.0,1.0,13,13.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17069,79.72603113761474,80.0,584.7,79.0,,2.0,27,87,57.0,87.0,1.0,1.0,1,0.0,0,1,,19.437611,-99.138817,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17305,79.72603113761474,80.0,204.0,79.0,,1.0,0,302,55.8,27.0,1.0,2.0,11,0.0,8,3,,19.37923,-99.18746,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
17707,68.18086978077531,100.0,250.0,57.0,,1.0,0,333,28.0,58.0,1.0,1.0,2,1.0,0,1,,19.39802,-99.15563,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,0.0,2.0,4.5,4.5,5.0,4.5,4.5,5.0,4.5,0.25
17748,90.74641243277964,86.0,5000.0,100.0,,3.0,30,365,60.0,90.0,1.0,3.0,1,0.0,0,1,,19.5172969,-99.1269486,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,1.0,0.0,1.0,4.6,4.7,4.5,4.7,4.7,4.5,4.6,0.2
17790,75.52779064421858,86.0,202.0,71.0,,1.0,30,365,60.0,90.0,1.0,1.0,82,0.0,40,42,,19.46435,-99.14403,365.0,15.0,365,365.0,365.0,15.0,15.0,15.0,1.0,0.0,1.0,4.6,4.7,4.5,4.7,4.7,4.5,4.6,0.13
17849,90.74641243277964,100.0,350.0,100.0,,2.0,29,364,59.0,89.0,1.0,2.0,3,0.0,2,1,,19.3402965,-99.2,350.0,1.0,350,350.0,350.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0.12
17924,90.74641243277964,98.0,746.0,100.0,,1.0,28,306,54.0,79.0,1.0,1.0,13,0.0,4,9,,19.41318,-99.17714,365.0,1.0,365,77.7,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12
18072,90.74641243277964,98.0,844.0,100.0,,2.0,30,313,56.0,86.0,1.0,1.0,13,0.0,4,9,,19.41416,-99.17683,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,4.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.49
18086,90.74641243277964,98.0,756.0,100.0,,1.0,20,303,46.0,76.0,1.0,1.0,13,0.0,4,9,,19.41279,-99.17488,365.0,1.0,365,80.4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12
18088,90.74641243277964,98.0,854.0,100.0,,2.0,27,310,53.0,83.0,1.0,1.0,13,0.0,4,9,,19.41419,-99.17703,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.25
18115,90.74641243277964,98.0,746.0,100.0,,1.0,20,291,41.0,64.0,1.0,1.0,13,0.0,4,9,,19.4147,-99.17571,365.0,1.0,365,90.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0.49
18119,90.74641243277964,98.0,844.0,100.0,,2.0,28,315,58.0,88.0,1.0,1.0,13,0.0,4,9,,19.41475,-99.17555,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,4.0,0.0,4.0,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0.49
18125,90.74641243277964,98.0,844.0,100.0,,2.0,29,312,55.0,85.0,1.0,1.0,13,0.0,4,9,,19.4144,-99.17678,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,7.0,2.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,4.86,0.86
18126,90.74641243277964,98.0,746.0,100.0,,1.0,27,310,53.0,83.0,1.0,1.0,13,0.0,4,9,,19.41244,-99.17523,365.0,1.0,365,74.4,1.0,1.0,1.0,1.0,6.0,0.0,6.0,5.0,5.0,5.0,5.0,5.0,4.83,4.83,0.74
18131,90.74641243277964,98.0,844.0,100.0,,2.0,30,313,56.0,86.0,1.0,1.0,13,0.0,4,9,,19.41439,-99.17549,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,4.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.49
18272,90.74641243277964,100.0,716.0,100.0,,4.0,0,301,55.8,26.0,1.0,4.0,1,0.0,0,1,,19.34528,-99.1247,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,4.57,4.71,4.93,4.79,4.93,4.57,4.5,1.95
18446,90.74641243277964,100.0,297.0,100.0,,2.2,26,89,56.0,86.0,1.0,10.0,1,0.0,0,1,,19.42417,-99.16057,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,14.0,3.0,14.0,4.57,4.71,4.93,4.79,4.93,4.57,4.5,1.95
18732,90.74641243277964,100.0,1000.0,100.0,,4.0,30,90,60.0,90.0,1.0,2.0,1,0.0,0,1,,19.42606,-99.1597,1125.0,1.0,180,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.38,4.62,4.46,4.38,4.77,4.46,4.38,1.8
18829,90.74641243277964,100.0,188.0,100.0,,6.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.40549,-99.17547,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,13.0,1.0,13.0,4.38,4.62,4.46,4.38,4.77,4.46,4.38,1.8
18831,90.74641243277964,100.0,188.0,100.0,,3.0,28,363,58.0,88.0,1.0,1.0,35,0.0,18,17,,19.4041,-99.17382,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,12.0,0.0,12.0,4.83,4.92,4.83,5.0,5.0,4.75,4.75,1.74
18833,90.74641243277964,100.0,193.0,100.0,,4.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.40427,-99.17411,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,11.0,0.0,11.0,4.73,4.91,4.73,4.91,5.0,4.64,5.0,1.64
18854,90.74641243277964,100.0,188.0,100.0,,3.0,28,363,58.0,88.0,1.0,1.0,35,0.0,18,17,,19.40401,-99.17576,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,5.0,2.0,5.0,4.2,4.8,4.8,4.4,5.0,4.6,4.6,0.82
18962,89.6968523094306,100.0,322.0,98.0,,1.0,30,365,60.0,90.0,1.0,1.0,5,0.0,0,5,,19.4306364,-99.1386755,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.48
18973,89.6968523094306,100.0,322.0,98.0,,1.0,30,365,60.0,90.0,1.0,1.0,5,0.0,0,5,,19.4306364,-99.1386755,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.48
19105,90.74641243277964,100.0,199.0,100.0,,3.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.41165,-99.18029,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,19.0,0.0,19.0,4.89,4.84,4.68,4.84,5.0,4.79,4.84,2.89
19112,90.74641243277964,100.0,190.0,100.0,,3.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.40644,-99.17504,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,12.0,0.0,12.0,4.42,4.67,4.5,4.5,4.42,4.42,4.5,1.86
19183,89.6968523094306,100.0,322.0,98.0,,1.0,27,361,56.0,86.0,1.0,1.0,5,0.0,0,5,,19.4306364,-99.1386755,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.34
19303,89.6968523094306,100.0,322.0,98.0,,1.0,21,353,51.0,81.0,1.0,1.0,5,0.0,0,5,,19.4306364,-99.1386755,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,24.0,0.2,24.0,4.96,4.92,4.96,5.0,4.96,5.0,5.0,0.8
19336,89.17207224775609,100.0,550.0,97.0,,1.0,30,365,60.0,90.0,1.0,1.0,2,0.0,1,1,,19.40054,-99.11609,1125.0,2.0,120,1125.0,1125.0,2.0,2.0,2.0,0.0,0.0,0.0,4.75,4.94,4.88,4.88,4.94,4.75,4.75,2.83
19338,89.6968523094306,100.0,322.0,98.0,,1.0,0,0,55.8,84.0,1.0,1.0,5,0.0,0,5,,19.4306364,-99.1386755,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,17.0,0.2,17.0,4.75,4.94,4.88,4.88,4.94,4.75,4.75,2.83
19342,90.74641243277964,67.0,350.0,100.0,,2.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.4711614,-99.0866765,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.67,5.0,5.0,1.09
19605,75.52779064421858,86.0,400.0,71.0,,1.0,9,344,39.0,69.0,1.0,1.0,82,0.0,40,42,,19.48784,-99.13681,365.0,28.0,365,365.0,365.0,28.0,28.0,28.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.67,5.0,5.0,1.09
19795,86.5481719393835,100.0,350.0,92.0,,2.0,25,360,55.0,85.0,1.0,1.0,1,0.0,0,1,,19.45533,-99.15252,1125.0,2.0,30,1125.0,1125.0,2.0,2.0,2.0,6.0,1.0,6.0,5.0,5.0,5.0,5.0,4.67,5.0,5.0,1.09
20021,90.74641243277964,90.0,999.0,100.0,,2.0,0,148,28.0,58.0,1.0,1.0,1,0.0,0,1,,19.427793254895164,-99.17123906314372,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,8.0,0.0,8.0,4.88,5.0,5.0,5.0,5.0,5.0,5.0,1.56
20251,80.25081119928926,100.0,600.0,80.0,,1.0,30,365,60.0,90.0,1.0,2.0,3,0.0,2,1,,19.43058,-99.10013,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.23
20321,90.74641243277964,90.0,928.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.42237067853564,-99.15681639629516,30.0,1.0,30,30.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.23
20334,90.74641243277964,90.0,280.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.4495,-99.18169,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.23
20519,74.47823052086954,60.0,800.0,69.0,,1.0,30,365,60.0,90.0,1.0,1.0,6,0.0,2,4,,19.4369996,-99.1848654,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.23
20520,74.47823052086954,60.0,750.0,69.0,,1.0,30,365,60.0,90.0,1.0,1.0,6,0.0,2,4,,19.4369996,-99.1848654,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.23
21069,90.74641243277964,100.0,200.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.4289648,-99.1270891,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,2.0
21189,38.268406265327705,0.0,904.0,0.0,,2.0,30,365,60.0,90.0,1.0,1.0,1,0.0,0,1,,19.38698,-99.17239,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.86,5.0,4.86,3.71,4.86,5.0,2.88
21303,38.268406265327705,0.0,1216.0,0.0,,4.0,30,365,60.0,90.0,1.0,2.0,1,0.0,0,1,,19.38714,-99.17239,1125.0,2.0,365,1125.0,1125.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,4.86,5.0,4.86,3.71,4.86,5.0,2.88
21345,90.74641243277964,100.0,300.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.4289648,-99.1270891,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,7.0,3.0,7.0,5.0,4.86,5.0,4.86,3.71,4.86,5.0,2.88
21417,90.74641243277964,100.0,250.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.4289648,-99.1270891,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,3.0,0.0,3.0,5.0,5.0,5.0,5.0,4.67,5.0,5.0,1.34
21893,90.74641243277964,100.0,250.0,100.0,,1.0,30,361,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.429193203435847,-99.12593228005406,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,6.0,0.0,6.0,4.67,4.67,5.0,5.0,3.83,4.5,4.83,2.43
21950,90.74641243277964,100.0,349.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,3,0.0,2,1,,19.380259737269984,-99.15199992618555,1125.0,3.0,1125,1125.0,1125.0,3.0,3.0,3.0,0.0,0.0,0.0,4.88,4.75,5.0,4.88,4.38,4.75,4.5,3.2
21974,90.74641243277964,100.0,200.0,100.0,,1.0,28,361,58.0,86.0,1.0,1.0,12,1.0,3,8,,19.42814109778468,-99.12642074147796,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,8.0,0.2,8.0,4.88,4.75,5.0,4.88,4.38,4.75,4.5,3.2
22196,90.74641243277964,100.0,300.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.42813629783521,-99.12816043803818,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.25
22197,90.74641243277964,100.0,230.0,100.0,,1.0,27,362,57.0,87.0,1.0,1.0,12,1.0,3,8,,19.42978637808972,-99.12821244784378,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,2.0,0.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,0.98
22437,79.20125107594022,90.0,640.0,78.0,,5.0,30,364,60.0,90.0,1.0,3.0,2,0.0,0,2,,19.44637156987848,-99.14015703020212,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.14
22578,79.20125107594022,90.0,1100.0,78.0,,2.0,28,360,58.0,88.0,1.0,1.0,1,0.0,0,1,,19.39225079103661,-99.08352202726802,365.0,2.0,365,365.0,365.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.14
22855,90.74641243277964,100.0,200.0,100.0,,6.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.41352902715815,-99.17561628719902,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.14
22857,90.74641243277964,100.0,187.0,100.0,,5.0,30,180,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.411537018326275,-99.17478761170575,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,5.0,3.0,3.5,1.87
22858,90.74641243277964,100.0,186.0,100.0,,4.0,22,357,52.0,82.0,1.0,1.0,35,0.0,18,17,,19.41363258108415,-99.17418976142656,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,3.5,1.87
22859,90.74641243277964,100.0,200.0,100.0,,3.0,30,365,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.41356652737231,-99.17641235303626,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,0.86
22865,90.74641243277964,100.0,186.0,100.0,,2.0,24,359,54.0,84.0,1.0,1.0,35,0.0,18,17,,19.411718743091697,-99.17612807406545,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,0.86
22871,90.74641243277964,100.0,186.0,100.0,,1.0,30,180,60.0,90.0,1.0,1.0,35,0.0,18,17,,19.413629052078463,-99.17601889003308,1125.0,1.0,365,1125.0,1125.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
23067,90.74641243277964,100.0,200.0,100.0,,2.0,0,335,30.0,60.0,1.0,1.0,1,0.0,0,1,,19.4539689,-99.1938423,30.0,1.0,30,30.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0
23189,64.50740934905367,25.0,521.0,50.0,,4.0,30,365,60.0,90.0,1.0,2.0,1,0.0,0,1,,19.43098828888163,-99.09659821540116,365.0,2.0,365,365.0,365.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0
23211,88.12251212440705,100.0,226.0,95.0,,2.0,30,365,60.0,90.0,1.0,2.0,6,0.0,4,2,,19.338688899458592,-99.146147343427,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,3.0,2.0,3.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,2.81
23524,90.74641243277964,100.0,200.0,100.0,,6.0,30,365,60.0,90.0,1.0,6.0,2,0.0,1,1,,19.27587096496613,-99.158725887537,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23575,75.52779064421858,100.0,404.0,71.0,,2.0,5,330,25.0,55.0,1.0,1.0,2,0.0,1,1,,19.409325436571187,-99.17408757321664,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,3.0,3.0,3.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23626,73.4286703975205,100.0,272.0,67.0,,2.2,30,365,60.0,90.0,1.0,2.0,1,0.0,0,1,,19.42974099303099,-99.13259058465574,1125.0,1.0,1125,1125.0,1125.0,1.0,1.0,1.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23733,90.74641243277964,100.0,250.0,100.0,,1.0,30,365,60.0,90.0,1.0,1.0,12,1.0,3,8,,19.42849192937823,-99.12620267101504,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23762,90.74641243277964,100.0,224.0,100.0,,1.0,29,364,59.0,89.0,1.0,1.0,1,0.0,0,1,,19.37747,-99.16943,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23894,88.12251212440705,100.0,720.0,95.0,,5.0,30,364,60.0,90.0,1.0,3.0,2,0.0,0,2,,19.44573,-99.13972,365.0,2.0,365,365.0,365.0,2.0,2.0,2.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
23898,88.12251212440705,100.0,176.0,95.0,,3.0,30,364,60.0,90.0,1.0,4.0,1,0.0,0,1,,19.3334378,-99.1544806,365.0,1.0,365,365.0,365.0,1.0,1.0,1.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
24173,88.12251212440705,100.0,236.0,95.0,,2.0,30,365,60.0,90.0,1.0,2.0,6,0.0,4,2,,19.3370867648434,-99.14516262782789,1125.0,2.0,365,1125.0,1125.0,2.0,2.0,2.0,0.0,0.0,0.0,3.67,4.33,4.67,3.67,4.67,4.0,3.67,3.0
